date,baseline_predicted_reported_min,baseline_predicted_reported_and_unreported_min,baseline_normal_bed_occupancy_min,baseline_icu_bed_occupancy_min,baseline_icu_ventilator_occupancy_min,baseline_normal_bed_requirement_min,baseline_icu_bed_requirement_min,baseline_icu_ventilator_requirement_min,baseline_death_natural_non_exposed_min,baseline_death_natural_exposed_min,baseline_death_treated_hospital_min,baseline_death_treated_icu_min,baseline_death_treated_ventilator_min,baseline_death_untreated_hospital_min,baseline_death_untreated_icu_min,baseline_death_untreated_ventilator_min,baseline_death_cum_mortality_min,baseline_death_deaths_from_covid_min,baseline_death_deaths_with_covid_min,baseline_predicted_reported_med,baseline_predicted_reported_and_unreported_med,baseline_normal_bed_occupancy_med,baseline_icu_bed_occupancy_med,baseline_icu_ventilator_occupancy_med,baseline_normal_bed_requirement_med,baseline_icu_bed_requirement_med,baseline_icu_ventilator_requirement_med,baseline_death_natural_non_exposed_med,baseline_death_natural_exposed_med,baseline_death_treated_hospital_med,baseline_death_treated_icu_med,baseline_death_treated_ventilator_med,baseline_death_untreated_hospital_med,baseline_death_untreated_icu_med,baseline_death_untreated_ventilator_med,baseline_death_cum_mortality_med,baseline_death_deaths_from_covid_med,baseline_death_deaths_with_covid_med,baseline_predicted_reported_max,baseline_predicted_reported_and_unreported_max,baseline_normal_bed_occupancy_max,baseline_icu_bed_occupancy_max,baseline_icu_ventilator_occupancy_max,baseline_normal_bed_requirement_max,baseline_icu_bed_requirement_max,baseline_icu_ventilator_requirement_max,baseline_death_natural_non_exposed_max,baseline_death_natural_exposed_max,baseline_death_treated_hospital_max,baseline_death_treated_icu_max,baseline_death_treated_ventilator_max,baseline_death_untreated_hospital_max,baseline_death_untreated_icu_max,baseline_death_untreated_ventilator_max,baseline_death_cum_mortality_max,baseline_death_deaths_from_covid_max,baseline_death_deaths_with_covid_max,hypothetical_predicted_reported_min,hypothetical_predicted_reported_and_unreported_min,hypothetical_normal_bed_occupancy_min,hypothetical_icu_bed_occupancy_min,hypothetical_icu_ventilator_occupancy_min,hypothetical_normal_bed_requirement_min,hypothetical_icu_bed_requirement_min,hypothetical_icu_ventilator_requirement_min,hypothetical_death_natural_non_exposed_min,hypothetical_death_natural_exposed_min,hypothetical_death_treated_hospital_min,hypothetical_death_treated_icu_min,hypothetical_death_treated_ventilator_min,hypothetical_death_untreated_hospital_min,hypothetical_death_untreated_icu_min,hypothetical_death_untreated_ventilator_min,hypothetical_death_cum_mortality_min,hypothetical_death_deaths_from_covid_min,hypothetical_death_deaths_with_covid_min,hypothetical_predicted_reported_med,hypothetical_predicted_reported_and_unreported_med,hypothetical_normal_bed_occupancy_med,hypothetical_icu_bed_occupancy_med,hypothetical_icu_ventilator_occupancy_med,hypothetical_normal_bed_requirement_med,hypothetical_icu_bed_requirement_med,hypothetical_icu_ventilator_requirement_med,hypothetical_death_natural_non_exposed_med,hypothetical_death_natural_exposed_med,hypothetical_death_treated_hospital_med,hypothetical_death_treated_icu_med,hypothetical_death_treated_ventilator_med,hypothetical_death_untreated_hospital_med,hypothetical_death_untreated_icu_med,hypothetical_death_untreated_ventilator_med,hypothetical_death_cum_mortality_med,hypothetical_death_deaths_from_covid_med,hypothetical_death_deaths_with_covid_med,hypothetical_predicted_reported_max,hypothetical_predicted_reported_and_unreported_max,hypothetical_normal_bed_occupancy_max,hypothetical_icu_bed_occupancy_max,hypothetical_icu_ventilator_occupancy_max,hypothetical_normal_bed_requirement_max,hypothetical_icu_bed_requirement_max,hypothetical_icu_ventilator_requirement_max,hypothetical_death_natural_non_exposed_max,hypothetical_death_natural_exposed_max,hypothetical_death_treated_hospital_max,hypothetical_death_treated_icu_max,hypothetical_death_treated_ventilator_max,hypothetical_death_untreated_hospital_max,hypothetical_death_untreated_icu_max,hypothetical_death_untreated_ventilator_max,hypothetical_death_cum_mortality_max,hypothetical_death_deaths_from_covid_max,hypothetical_death_deaths_with_covid_max,input_cases,input_deaths,seroprevalence,input_cumulative_death,interventions_baseline_si_vector,interventions_baseline_sd_vector,interventions_baseline_scr_vector,interventions_baseline_hw_vector,interventions_baseline_msk_vector,interventions_baseline_wah_vector,interventions_baseline_sc_vector,interventions_baseline_scp_vector,interventions_baseline_tb_vector,interventions_baseline_mt_vector,interventions_baseline_cte_vector,interventions_baseline_q_vector,interventions_hypothetical_si_vector,interventions_hypothetical_sd_vector,interventions_hypothetical_scr_vector,interventions_hypothetical_hw_vector,interventions_hypothetical_msk_vector,interventions_hypothetical_wah_vector,interventions_hypothetical_sc_vector,interventions_hypothetical_scp_vector,interventions_hypothetical_tb_vector,interventions_hypothetical_mt_vector,interventions_hypothetical_cte_vector,interventions_hypothetical_q_vector
2/16/20,4,27,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/20,6,42,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,7,44,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,6,42,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0,0,0,16463,0,0,0,0,0,0,0,0,0,0,10,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/20,9,59,1,0,0,1,0,0,24695,0,0,0,0,0,0,0,0,0,0,10,63,1,0,0,2,0,0,24695,0,0,0,0,0,0,0,0,0,0,11,67,1,0,0,2,0,0,24695,0,0,0,0,0,0,0,0,0,0,9,59,1,0,0,1,0,0,24695,0,0,0,0,0,0,0,0,0,0,10,63,1,0,0,2,0,0,24695,0,0,0,0,0,0,0,0,0,0,11,67,1,0,0,2,0,0,24695,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/20,12,79,2,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,14,85,3,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,15,92,3,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,13,79,2,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,14,86,3,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,15,91,3,0,1,3,0,1,32927,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/20,16,103,4,1,1,4,1,1,41159,0,0,0,0,0,0,0,0,0,0,18,112,4,1,1,5,1,1,41159,0,0,0,0,0,0,0,0,0,0,19,121,5,1,1,5,1,1,41159,0,0,0,0,0,0,0,0,0,0,16,102,4,1,1,4,1,1,41159,0,0,0,0,0,0,0,0,0,0,18,113,4,1,1,5,1,1,41159,0,0,0,0,0,0,0,0,0,0,19,122,5,1,1,5,1,1,41159,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/20,21,132,6,1,1,6,1,1,49391,0,0,0,0,0,0,0,0,1,0,23,145,6,1,1,7,1,2,49391,0,0,0,0,0,0,0,0,1,0,25,158,7,1,2,8,1,2,49391,0,0,0,0,0,0,0,0,1,0,21,130,6,1,1,6,1,1,49391,0,0,0,0,0,0,0,0,1,0,23,147,6,1,1,7,1,2,49391,0,0,0,0,0,0,0,0,1,0,25,160,7,1,2,8,1,2,49391,0,0,0,0,0,0,0,0,1,0,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,26,168,8,1,2,9,1,2,57623,0,0,0,0,0,0,0,1,1,0,29,186,9,1,2,10,1,2,57623,0,1,0,0,0,0,0,1,1,0,32,205,9,1,2,10,2,2,57623,0,1,0,0,0,0,0,1,1,0,26,165,8,1,2,9,1,2,57623,0,0,0,0,0,0,0,1,1,0,30,189,9,1,2,10,1,2,57623,0,1,0,0,0,0,0,1,1,0,32,207,9,1,2,10,2,2,57623,0,1,0,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/20,33,213,10,2,2,11,2,3,65855,0,1,0,0,0,0,0,1,1,0,37,237,11,2,3,12,2,3,65855,0,1,0,0,0,0,0,1,1,0,41,263,12,2,3,14,2,3,65855,0,1,0,0,0,0,0,1,1,0,32,207,10,2,2,11,2,3,65855,0,1,0,0,0,0,0,1,1,0,37,242,11,2,3,13,2,3,65855,0,1,0,0,0,0,0,1,1,0,41,268,12,2,3,14,2,3,65855,0,1,0,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/20,41,267,13,2,3,14,2,3,74087,0,1,0,0,0,0,0,1,2,0,46,301,14,2,3,16,2,4,74087,0,1,0,0,0,0,0,2,2,0,52,338,16,2,4,17,3,4,74087,0,1,0,1,0,0,0,2,2,0,40,259,13,2,3,14,2,3,74087,0,1,0,0,0,0,0,1,2,0,47,308,14,2,3,16,2,4,74087,0,1,0,0,0,0,0,2,2,0,53,346,16,2,4,17,3,4,74087,0,1,0,1,0,0,0,2,2,0,13,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/20,51,335,16,2,4,18,3,4,82319,0,1,0,1,0,0,0,2,2,0,58,380,18,3,4,20,3,5,82319,0,1,0,1,0,0,0,2,3,0,65,433,19,3,5,21,3,5,82319,0,2,0,1,0,0,0,2,3,0,49,324,16,2,4,18,3,4,82319,0,1,0,1,0,0,0,2,2,0,60,392,18,3,4,20,3,5,82319,0,1,0,1,0,0,0,2,3,0,67,446,20,3,5,22,3,5,82319,0,2,0,1,0,0,0,2,3,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
